x,y,z
-0.118277,-0.0188008,0.344737
-0.20151,0.246007,0.207478
-0.0896496,0.116292,0.442691
-0.102301,0.136969,0.498849
-0.215297,0.194628,0.540291
-0.215101,0.0633219,0.265837
-0.197883,0.500019,0.66319
-0.249451,0.112859,0.192226
-0.15611,0.380324,0.548469
-0.175594,0.270446,0.244265
-0.154042,0.435022,0.527562
-0.149455,0.127281,0.568854
-0.207071,0.176553,0.638616
-0.197419,0.316814,0.603607
-0.10306,0.0905493,0.257577
-0.24548,0.274544,0.281654
-0.0522236,0.194599,0.333799
-0.136621,-0.429074,0.311604
-0.167279,0.236366,0.601289
-0.257021,0.0770282,0.262539
-0.228571,0.0842999,0.461388
-0.125124,-0.34739,0.32535
-0.131177,0.228122,0.179668
-0.206261,0.387625,0.523942
-0.24123,0.261816,0.469213
-0.19893,0.442115,0.678764
-0.13343,0.291465,0.327511
-0.0853972,0.159651,0.203882
-0.308956,0.205033,0.375036
-0.230262,-0.223125,0.338316
-0.175537,0.502496,0.534827
-0.216014,0.109441,0.565013
-0.163957,0.180452,0.54849
-0.180374,0.100835,0.635861
-0.134712,0.271133,0.251962
-0.155277,0.47232,0.599242
-0.191508,0.0773034,0.550586
-0.249509,0.127066,0.504154
-0.121751,0.101492,0.183223
-0.176519,0.367072,0.662771
-0.185235,0.209317,0.660931
-0.206262,0.247131,0.521551
-0.180282,0.160034,0.612363
-0.0953683,0.238157,0.459111
-0.198396,0.423762,0.503084
-0.158963,0.0559952,0.372993
-0.19335,0.107775,0.0672477
-0.142716,0.0774938,0.453798
-0.198674,0.287477,0.272954
-0.157192,0.0904417,0.595299
-0.228638,0.101868,0.127028
-0.208018,0.466001,0.533262
-0.102848,0.224715,0.225677
-0.249247,0.149254,0.112978
-0.206963,0.501788,0.602751
-0.156872,0.295521,0.58043
-0.187732,0.0781382,0.208768
-0.275992,0.0735675,0.333845
-0.221201,0.0216641,0.356898
-0.279163,0.228859,0.269282
-0.183409,0.0631612,0.407425
-0.261745,0.117679,0.229479
-0.195601,0.26665,0.634084
-0.0804934,0.123981,0.249139
-0.0774333,0.197148,0.450405
-0.07479,0.198581,0.255897
-0.0569744,0.201286,0.371339
-0.227303,0.137797,0.541644
-0.058545,0.122936,0.371237
-0.178382,0.0715495,0.247866
-0.205041,0.220705,0.142571
-0.285497,0.0832363,0.293927
-0.127183,0.112669,0.518637
-0.0907945,0.25,0.392222
-0.1603,0.501143,0.659294
-0.188983,0.189725,0.109157
-0.257682,0.271215,0.387801
-0.296115,0.148645,0.239446
-0.233218,-0.461062,0.410699
-0.290829,0.212289,0.429876
-0.11444,0.27389,0.28328
-0.121625,-0.461684,0.407396
-0.148896,0.286186,0.406837
-0.263736,0.189493,0.500631
-0.20359,0.165825,0.0802447
-0.182463,0.286861,0.457755
-0.319634,0.16984,0.375204
-0.113184,-0.218354,0.306491
-0.114686,0.089019,0.432985
-0.170362,0.398057,0.64401
-0.2722,0.241719,0.414359
-0.212476,0.29592,0.351443
-0.0819155,0.2446,0.289352
-0.168921,0.299153,0.318399
-0.115272,-0.46137,0.358356
-0.153521,0.158843,0.637944
-0.235542,0.0451306,0.382185
-0.20624,0.123896,0.596281
-0.285619,0.142219,0.449253
-0.206588,0.339201,0.559186
-0.145779,0.100811,0.106775
-0.176466,0.0908837,0.140199
-0.170241,0.129229,0.65596
-0.263182,0.0889836,0.410351
-0.170715,0.42682,0.693233
-0.305263,0.213808,0.341022
-0.306469,0.128673,0.291567
-0.16589,0.124541,0.035944
-0.204439,0.0819323,0.493479
-0.295353,0.0962222,0.351792
-0.185183,0.454655,0.562474
-0.1183,0.0417424,0.338597
-0.160265,-0.467615,0.410078
-0.0529351,0.125235,0.325443
-0.139509,0.0678236,0.265196
-0.0821282,0.0803849,0.309146
-0.0610789,0.136594,0.274184
-0.114404,-0.26912,0.318502
-0.101698,0.271497,0.351104
-0.160221,0.328831,0.551396
-0.234921,0.244499,0.203879
-0.119506,0.254263,0.227485
-0.122471,0.165267,0.101858
-0.208527,-0.465498,0.351347
-0.190867,0.293257,0.382429
-0.233573,0.203519,0.142121
-0.125281,-0.0939979,0.327812
-0.11565,0.072735,0.39108
-0.241936,-0.254012,0.332732
-0.182792,0.401757,0.555613
-0.115097,-0.151082,0.325273
-0.223185,-0.171122,0.325439
-0.164726,0.316592,0.604769
-0.277367,0.176943,0.219347
-0.215676,0.281487,0.426678
-0.208601,0.441872,0.620177
-0.13072,0.207521,0.143308
-0.180355,0.316837,0.644001
-0.174948,0.137468,0.588838
-0.311498,0.13546,0.399126
-0.0511744,0.183077,0.299297
-0.200533,0.475245,0.682936
-0.129863,-0.211743,0.33262
-0.167692,0.264115,0.586079
-0.185263,0.195202,0.611414
-0.111853,0.11473,0.156399
-0.240602,0.102294,0.48685
-0.167754,0.435574,0.499287
-0.195067,0.345334,0.587706
-0.155512,0.46588,0.522468
-0.154175,0.14831,0.062839
-0.240219,0.0473442,0.328617
-0.13353,0.266465,0.485567
-0.256538,0.239481,0.484817
-0.129717,0.140995,0.0835852
-0.243646,0.282372,0.318953
-0.295945,0.180341,0.442743
-0.265618,0.135007,0.175367
-0.314568,0.13456,0.324096
-0.264308,-0.461668,0.374924
-0.211219,0.493022,0.632077
-0.245834,-0.465467,0.344957
-0.065393,0.226221,0.317635
-0.166467,0.383523,0.688979
-0.125471,0.0976468,0.215639
-0.200652,0.149249,0.656414
-0.15179,0.457643,0.664836
-0.259419,0.249384,0.257241
-0.223023,-0.217735,0.309205
-0.0469347,0.164569,0.331602
-0.180254,0.0345748,0.364296
-0.270419,0.13979,0.475467
-0.227125,0.256901,0.501759
-0.148761,-0.463824,0.34939
-0.0993652,0.117964,0.471389
-0.225806,0.0905829,0.196505
-0.115328,0.179022,0.522654
-0.200705,0.0523766,0.292205
-0.23801,-0.0783966,0.32901
-0.31209,0.178498,0.301759
-0.0937786,0.0694943,0.334508
-0.248644,0.200758,0.167932
-0.1548,0.22209,0.628326
-0.1401,0.052389,0.300336
-0.165119,0.279042,0.485336
-0.226084,-0.0350866,0.342215
-0.120203,0.0453701,0.37864
-0.109015,0.0696217,0.281708
-0.20487,0.104639,0.618755
-0.145285,0.443976,0.634945
-0.210299,0.166697,0.548597
-0.14055,0.235407,0.524515
-0.244447,0.200995,0.52207
-0.21879,0.278591,0.460026
-0.183323,0.0784961,0.52149
-0.193206,0.516591,0.578097
-0.152789,0.496986,0.617689
-0.195633,0.1191,0.0402107
-0.200803,0.289012,0.61575
-0.0746617,0.141041,0.223809
-0.185356,0.372451,0.510075
-0.102629,0.12375,0.185319
-0.290278,0.236541,0.330258
-0.16603,0.154477,0.561823
-0.106304,0.211781,0.509084
-0.249356,0.0912662,0.435978
-0.213401,0.433822,0.65275
-0.165488,0.0788608,0.569901
-0.202366,-0.457618,0.379137
-0.198249,0.233476,0.645869
-0.193693,0.354526,0.684197
-0.243077,0.120327,0.11012
-0.150462,0.0823947,0.203982
-0.105055,0.147729,0.130847
-0.157198,0.407587,0.539075
-0.0726436,0.120063,0.407652
-0.190385,0.297312,0.299336
-0.205791,0.221425,0.537135
-0.237017,-0.439809,0.315217
-0.158118,0.184369,0.653233
-0.203682,0.289763,0.585077
-0.0953488,0.19967,0.214492
-0.297957,0.198277,0.280382
-0.249177,0.0702347,0.388697
-0.131773,-0.0433325,0.347873
-0.245108,-0.119327,0.32802
-0.152698,0.4162,0.631843
-0.115106,0.260205,0.465339
-0.20246,0.237766,0.178657
-0.213688,0.140223,0.0645329
-0.251525,-0.218386,0.31855
-0.237419,-0.304082,0.309961
-0.145067,0.0906858,0.513465
-0.188232,0.325677,0.543457
-0.126254,-0.327638,0.305995
-0.230565,-0.398338,0.305913
-0.0740904,0.137556,0.434236
-0.140063,0.191063,0.114473
-0.159405,0.374976,0.520544
-0.177758,0.0849237,0.612922
-0.0878489,0.20128,0.479395
-0.220125,-0.243727,0.319281
-0.211641,0.0737768,0.434853
-0.175613,0.365685,0.577827
-0.165624,0.0741453,0.470091
-0.168878,0.0685794,0.430513
-0.122202,0.237517,0.203724
-0.1957,0.399128,0.656006
-0.210459,0.105451,0.0882405
-0.130223,-0.40634,0.324991
-0.240553,0.285173,0.364252
-0.228717,0.166711,0.0949422
-0.240462,0.259061,0.227794
-0.265892,0.0639711,0.360043
-0.110776,0.270996,0.39534
-0.165954,0.403711,0.671011
-0.101023,0.170619,0.162878
-0.136796,0.123573,0.545385
-0.318758,0.14672,0.35669
-0.239016,0.103923,0.154573
-0.08536,0.084055,0.36876
-0.11803,0.208544,0.166769
-0.170615,0.436105,0.548447
-0.15701,0.49927,0.55374
-0.179231,0.25414,0.219676
-0.207687,0.440798,0.521373
-0.195227,0.184661,0.661991
-0.280902,0.203107,0.464143
-0.137551,0.292626,0.354877
-0.188338,0.0474479,0.337495
-0.188545,0.266059,0.507726
-0.203398,0.354039,0.537393
-0.150228,0.227392,0.153272
-0.155188,0.247946,0.622539
-0.152938,0.260976,0.234357
-0.174933,0.460111,0.586409
-0.245837,0.0924527,0.237636
-0.192625,0.483324,0.518061
-0.156381,0.353487,0.542942
-0.216793,0.0637855,0.389507
-0.260284,0.154614,0.50199
-0.235323,-0.265672,0.30713
-0.154685,0.238092,0.185894
-0.10414,0.107857,0.23706
-0.146475,0.101038,0.56515
-0.226855,-0.347956,0.316698
-0.264725,0.209692,0.220331
-0.114456,-0.246247,0.306022
-0.227484,-0.198166,0.331373
-0.0885785,0.150886,0.479784
-0.181669,0.414353,0.627123
-0.13002,0.276032,0.42749
-0.189148,0.299398,0.334728
-0.118121,0.00816503,0.348114
-0.246311,0.0149929,0.35696
-0.211099,0.469278,0.619223
-0.132217,0.11618,0.0907154
-0.199093,0.238943,0.605035
-0.202746,0.471287,0.571804
-0.203149,0.076107,0.23986
-0.231945,0.0568428,0.284381
-0.190228,0.196167,0.546363
-0.182745,0.279873,0.572216
-0.290279,0.228659,0.292572
-0.151631,0.489395,0.580273
-0.147173,0.0428194,0.354257
-0.185069,0.387243,0.706356
-0.30093,0.13787,0.266361
-0.179857,0.519152,0.59989
-0.274599,0.256098,0.361643
-0.205764,0.201911,0.642219
-0.223858,-0.134159,0.325382
-0.158624,0.102459,0.621798
-0.180235,0.0474435,0.306599
-0.168144,0.355132,0.68458
-0.181479,0.246357,0.527242
-0.222773,0.285937,0.282655
-0.11348,0.152752,0.519833
-0.283623,0.13013,0.226573
-0.17954,0.450347,0.696387
-0.0552104,0.142219,0.387297
-0.0632233,0.103312,0.3182
-0.110393,0.121682,0.131973
-0.151733,0.116366,0.593128
-0.0641603,0.191933,0.41133
-0.299734,0.136075,0.423236
-0.152556,0.284233,0.435936
-0.202608,0.156406,0.623293
-0.186322,0.169724,0.555334
-0.162391,0.213818,0.651596
-0.0533185,0.179027,0.382291
-0.188598,0.4412,0.60508
-0.168918,0.267307,0.635637
-0.170129,0.109563,0.0555979
-0.193463,0.122069,0.649991
-0.178143,0.491535,0.675884
-0.312505,0.18763,0.397134
-0.171907,0.287041,0.271142
-0.239368,0.101167,0.215079
-0.201136,0.0916112,0.13741
-0.206117,0.324616,0.579889
-0.288764,0.0983421,0.274293
-0.130048,-0.445187,0.329089
-0.137649,0.0626869,0.386146
-0.212062,0.479381,0.660691
-0.081581,0.250915,0.316704
-0.177786,0.514707,0.556037
-0.180925,0.24414,0.194294
-0.2604,0.148449,0.154302
-0.288781,0.0998201,0.389014
-0.0974395,-0.463955,0.409457
-0.295063,0.175655,0.25752
-0.125234,-0.361143,0.305253
-0.106255,0.0391635,0.3596
-0.132853,-0.16779,0.325861
-0.195519,0.399719,0.504757
-0.20977,0.257994,0.226944
-0.24381,0.222815,0.190466
-0.114776,-0.230432,0.327309
-0.295741,0.215075,0.406438
-0.200368,0.42051,0.668234
-0.276153,0.110391,0.432415
-0.20312,0.403448,0.541801
-0.262403,0.266616,0.296817
-0.0510111,0.13521,0.351973
-0.130117,-0.201677,0.310085
-0.0862202,0.234904,0.419046
-0.222562,0.109256,0.541482
-0.0534878,0.163865,0.283149
-0.171575,0.104891,0.0790142
-0.269341,0.125161,0.208049
-0.233787,0.112053,0.517448
-0.208965,0.0437694,0.348894
-0.0649091,0.225087,0.341963
-0.11781,0.0924607,0.456348
-0.194077,0.0791963,0.179334
-0.317272,0.159919,0.397135
-0.19841,0.497152,0.538422
-0.213701,0.133416,0.561035
-0.137337,0.0505065,0.323787
-0.117857,-0.466895,0.381223
-0.141695,0.180515,0.540491
-0.228527,0.174363,0.535725
-0.265795,0.217872,0.486717
-0.156308,0.414562,0.512764
-0.289395,0.238176,0.356425
-0.249334,-0.46661,0.392408
-0.269078,0.222398,0.243128
-0.193226,0.376719,0.676155
-0.118632,0.282078,0.304863
-0.232127,0.278289,0.405209
-0.09616,0.222592,0.484422
-0.180207,0.34451,0.657813
-0.228029,0.0503222,0.307437
-0.220295,-0.466909,0.39211
-0.204975,0.0755336,0.465288
-0.0824811,0.251698,0.340943
-0.234966,0.288456,0.341947
-0.21027,0.454746,0.662957
-0.194347,0.509821,0.64248
-0.169216,0.0781214,0.222637
-0.153506,0.200364,0.541504
-0.154766,0.133108,0.639228
-0.161987,0.445967,0.682063
-0.216535,-0.444255,0.32486
-0.196978,0.274886,0.251681
-0.18164,0.300755,0.62092
-0.0880564,0.140974,0.190074
-0.154337,0.48238,0.671285
-0.207428,0.0883837,0.568388
-0.174336,0.220009,0.137575
-0.261426,0.0672441,0.283135
-0.130889,-0.28491,0.316265
-0.114847,0.115793,0.499601
-0.20738,0.41258,0.520915
-0.170308,0.306988,0.557994
-0.168168,0.078806,0.538763
-0.1592,0.148641,0.617515
-0.190246,0.445366,0.498667
-0.266072,0.176453,0.191765
-0.314189,0.194039,0.355802
-0.122972,0.0806498,0.252762
-0.0946461,0.263326,0.374192
-0.205219,0.246228,0.628374
-0.15223,0.290377,0.384775
-0.245209,-0.168542,0.32067
-0.165028,0.210345,0.611838
-0.110745,0.217971,0.20319
-0.235664,0.0289077,0.340889
-0.313621,0.156057,0.303915
-0.241542,0.142269,0.52469
-0.317857,0.144994,0.379184
-0.170258,0.486028,0.519215
-0.231237,0.0735444,0.253923
-0.277443,0.229854,0.434188
-0.0860311,0.216377,0.248034
-0.1377,0.280782,0.272465
-0.235643,-0.0868324,0.34962
-0.155417,0.266425,0.604652
-0.235004,-0.389688,0.32607
-0.0863484,0.179432,0.217629
-0.226003,-0.000110945,0.358477
-0.183646,0.0568838,0.381165
-0.14922,0.495023,0.640949
-0.174073,0.405953,0.700222
-0.210868,0.103425,0.588874
-0.120712,0.0792761,0.411691
-0.0549708,0.129732,0.300859
-0.244754,0.265923,0.25599
-0.178307,0.413717,0.496952
-0.155301,0.455175,0.613201
-0.226066,0.223388,0.527304
-0.193954,0.143848,0.606146
-0.156778,0.275715,0.254548
-0.201961,0.206122,0.126336
-0.258878,0.0559921,0.33973
-0.31313,0.189101,0.321033
-0.13464,0.0781319,0.433355
-0.0706286,0.107634,0.381367
-0.113819,0.193144,0.151694
-0.18367,0.127456,0.0217329
-0.191747,0.422761,0.688548
-0.125324,-0.370884,0.324885
-0.114808,-0.112558,0.3354
-0.140957,0.253823,0.509887
-0.20916,0.482613,0.592567
-0.0608874,0.192246,0.281313
-0.183132,0.17654,0.092836
-0.158332,0.364134,0.564748
-0.185204,0.222336,0.603292
-0.163177,0.170122,0.621031
-0.126726,0.109805,0.111672
-0.131085,-0.0805434,0.344886
-0.263865,0.162019,0.172329
-0.285018,0.208824,0.262182
-0.235562,0.0257955,0.372496
-0.161403,0.0627859,0.396923
-0.206077,0.382119,0.544809
-0.223608,-0.0671899,0.340559
-0.143864,0.14446,0.552119
-0.198126,0.511229,0.621324
-0.268803,0.105519,0.245776
-0.152204,0.0903971,0.146291
-0.155365,0.482461,0.536036
-0.0986746,0.267055,0.295996
-0.0655574,0.220437,0.367293
-0.247414,0.182102,0.138353
-0.119726,-0.253019,0.331437
-0.230117,-0.420132,0.306375
-0.147067,0.0809314,0.477943
-0.182177,0.331571,0.60238
-0.230625,-0.152083,0.315836
-0.27029,0.254181,0.388193
-0.157351,0.453188,0.543585
-0.134252,-0.467354,0.423416
-0.140894,0.0876777,0.174582
-0.189585,0.0767817,0.571644
-0.128033,0.277166,0.405731
-0.208948,0.177787,0.0967241
-0.188243,0.230601,0.150506
-0.208395,0.478616,0.550744
-0.257593,0.257694,0.409558
-0.310778,0.117823,0.336218
-0.180333,0.339677,0.691907
-0.112432,-0.203036,0.321316
-0.210337,0.0826718,0.208285
-0.225463,0.0884606,0.482496
-0.253705,-0.462487,0.414803
-0.301408,0.196044,0.421987
-0.263707,0.245768,0.43304
-0.168039,0.141765,0.0486438
-0.135704,-0.221389,0.314175
-0.159607,0.470464,0.576803
-0.0837256,0.0865029,0.285519
-0.227414,0.147398,0.0822894
-0.082837,0.133429,0.452641
-0.0981147,0.0999468,0.426855
-0.1391,0.292034,0.302023
-0.235597,-0.0513783,0.333617
-0.164447,0.113174,0.640744
-0.162383,0.454566,0.506528
-0.0568783,0.207004,0.349717
-0.11831,0.283853,0.350776
-0.183956,0.162367,0.0746521
-0.194582,0.286778,0.440977
-0.253782,0.0502833,0.373917
-0.172045,0.0771898,0.193944
-0.200157,0.45116,0.548685
-0.173449,0.0499285,0.351587
-0.195903,0.0594243,0.273399
-0.281553,0.0808947,0.352523
-0.0814605,0.216392,0.444198
-0.175171,0.187579,0.665729
-0.226483,-0.458993,0.342124
-0.129267,-0.00590279,0.358168
-0.251626,0.132349,0.124451
-0.158972,0.188536,0.106798
-0.298267,0.106417,0.290629
-0.207613,0.122026,0.0573049
-0.241137,0.138065,0.0978382
-0.237498,0.28462,0.299535
-0.104117,0.164051,0.143192
-0.26698,0.263886,0.330252
-0.25711,0.117693,0.480927
-0.27639,0.0818852,0.275734
-0.170533,0.386335,0.561553
-0.248928,-0.238365,0.321568
-0.0669232,0.139089,0.247815
-0.156182,0.506262,0.595965
-0.131595,-0.190113,0.327508
-0.219635,0.23743,0.189542
-0.20826,0.0873332,0.544914
-0.24523,-0.278352,0.319552
-0.237879,-0.0284167,0.357579
-0.125093,-0.325856,0.326168
-0.235686,-0.330067,0.305967
-0.0917466,0.237744,0.438315
-0.246111,-0.0966413,0.33537
-0.156288,0.317063,0.568482
-0.109831,0.0583156,0.329499
-0.197931,0.182171,0.620172
-0.114087,0.263011,0.256636
-0.215825,0.100244,0.111537
-0.192677,0.370792,0.696063
-0.232658,-0.125114,0.342754
-0.133529,0.0945879,0.496929
-0.171211,0.509975,0.644874
-0.198976,0.283448,0.470996
-0.195343,0.134943,0.583534
-0.14155,-0.466959,0.402937
-0.191318,0.261811,0.233722
-0.232318,-0.301898,0.329199
-0.269539,0.168234,0.489253
-0.219139,0.0371284,0.371335
-0.130072,-0.459577,0.343755
-0.275616,0.0712334,0.306414
-0.198871,0.459819,0.509357
-0.182685,0.142535,0.664058
-0.140841,0.0469325,0.372698
-0.187169,0.0764764,0.48524
-0.194007,0.42624,0.617012
-0.301427,0.156003,0.257128
-0.0785843,0.234573,0.389594
-0.171005,0.386095,0.661488
-0.125078,0.129793,0.528419
-0.153988,0.0954542,0.124001
-0.157228,0.297406,0.334305
-0.0511567,0.188429,0.353462
-0.146412,0.0587089,0.28134
-0.271908,0.252618,0.286582
-0.303418,0.117902,0.395004
-0.183572,0.290193,0.401355
-0.207547,0.0690023,0.416133
-0.231049,0.0953326,0.172264
-0.123465,0.236372,0.511908
-0.150759,0.474486,0.618304
-0.1853,0.255439,0.587371
-0.130094,-0.454883,0.391004
-0.163011,0.149323,0.659159
-0.228631,0.216704,0.155942
-0.114589,-0.131502,0.33029
-0.249116,0.165552,0.123891
-0.158857,0.0658735,0.26267
-0.0653178,0.16761,0.422107
-0.132963,-0.263344,0.315974
-0.248552,0.0985434,0.460164
-0.124739,0.0907835,0.236106
-0.0753009,0.177757,0.448843
-0.175256,0.077357,0.58679
-0.0841976,0.108283,0.260148
-0.0993297,-0.457531,0.369332
-0.0973641,0.164951,0.500714
-0.163793,0.0812702,0.519937
-0.0859524,0.132563,0.207522
-0.221957,0.272149,0.480567
-0.226412,-0.468754,0.427168
-0.297889,0.226142,0.369061
-0.221918,0.276733,0.262371
-0.22335,-0.261115,0.327192
-0.132691,-0.145077,0.330718
-0.22258,0.0418053,0.334353
-0.235218,0.00771922,0.342874
-0.133154,0.031829,0.346034
-0.0699743,0.217081,0.394794
-0.103717,0.0877656,0.408375
-0.298729,0.120143,0.276134
-0.0739902,0.0886819,0.324562
-0.202401,0.0840243,0.526887
-0.0729838,0.238967,0.329845
-0.0866279,0.126496,0.227572
-0.182719,0.227807,0.655621
-0.276164,0.186484,0.479376
-0.252428,0.255274,0.455091
-0.157706,0.228798,0.534203
-0.096798,0.174915,0.18415
-0.117908,0.265685,0.447237
-0.226881,0.275748,0.442949
-0.0698618,0.120047,0.270713
-0.243193,-0.186378,0.328954
-0.239902,-0.221714,0.301362
-0.0989398,0.0780074,0.38375
-0.170292,0.416787,0.549287
-0.185247,0.25492,0.644815
-0.0544443,0.200278,0.315835
-0.206096,0.264489,0.614218
-0.157874,0.410289,0.651245
-0.0999704,0.254681,0.408083
-0.248997,0.11335,0.173329
-0.155503,0.246887,0.523308
-0.230393,-0.36389,0.326137
-0.249301,-0.466361,0.363383
-0.243371,0.248875,0.494334
-0.223543,-0.187246,0.315844
-0.130455,-0.450916,0.311247
-0.175191,0.350573,0.588874
-0.093928,0.252408,0.275161
-0.22966,-0.156659,0.335394
-0.211557,0.292398,0.369797
-0.171691,0.198648,0.545914
-0.0784977,0.231005,0.276978
-0.167912,0.449125,0.600795
-0.180607,0.110835,0.0327947
-0.109843,0.277521,0.37149
-0.17978,0.503599,0.660431
-0.242262,0.280317,0.382581
-0.103831,0.0543458,0.347197
-0.250119,0.231192,0.21287
-0.112042,0.112461,0.200724
-0.134079,-0.45979,0.365629
-0.114088,0.0224475,0.361914
-0.214926,-0.464365,0.411211
-0.133084,0.250108,0.211914
-0.247058,0.0823649,0.416693
-0.243411,0.113911,0.127509
-0.125099,-0.41215,0.308152
-0.197538,0.108674,0.635279
-0.113741,0.199031,0.520261
-0.244775,-0.206409,0.330947
-0.265298,0.0645139,0.321752
-0.200552,0.154754,0.065791
-0.306827,0.145183,0.282232
-0.215221,-0.46738,0.368406
-0.196681,0.0860864,0.154391
-0.154822,0.104384,0.0866083
-0.0944674,0.156576,0.176016
-0.0597176,0.162341,0.265912
-0.206298,0.503996,0.58072
-0.104883,0.130055,0.14734
-0.159399,-0.463961,0.392126
-0.195252,0.166357,0.663011
-0.206347,0.357761,0.559324
-0.225549,-0.0143155,0.346921
-0.170812,0.3348,0.537702
-0.125583,0.0619631,0.283149
-0.0711999,0.0935024,0.301673
-0.156281,0.124568,0.051487
-0.18933,0.078934,0.504254
-0.13939,0.100421,0.528612
-0.279633,0.152089,0.465321
-0.153856,0.392374,0.529635
-0.188281,0.465839,0.692532
-0.112093,0.157349,0.114509
-0.229712,-0.46925,0.356754
-0.167694,0.459324,0.563727
